iter	Passed	Remaining
400	20115	30047
401	20161	29991
402	20210	29940
403	20261	29890
404	20308	29836
405	20355	29781
406	20403	29728
407	20453	29677
408	20502	29626
409	20550	29572
410	20598	29519
411	20651	29473
412	20702	29424
413	20735	29350
414	20781	29294
415	20834	29248
416	20885	29199
417	20936	29150
418	20985	29099
419	21027	29038
420	21079	28990
421	21135	28948
422	21185	28897
423	21233	28846
424	21284	28796
425	21331	28741
426	21381	28691
427	21434	28645
428	21477	28587
429	21529	28539
430	21585	28496
431	21638	28450
432	21689	28401
433	21735	28345
434	21782	28292
435	21830	28239
436	21883	28193
437	21931	28140
438	21977	28084
439	22027	28034
440	22074	27980
441	22123	27929
442	22169	27874
443	22217	27822
444	22269	27774
445	22308	27710
446	22358	27660
447	22406	27608
448	22456	27558
449	22502	27503
450	22553	27454
451	22608	27410
452	22656	27357
453	22708	27309
454	22761	27263
455	22814	27217
456	22867	27171
457	22915	27117
458	22969	27072
459	23019	27022
460	23068	26971
461	23117	26920
462	23167	26870
463	23219	26823
464	23266	26768
465	23316	26718
466	23354	26654
467	23404	26605
468	23452	26553
469	23499	26498
470	23547	26447
471	23601	26401
472	23628	26325
473	23674	26271
474	23729	26226
475	23776	26174
476	23825	26123
477	23873	26070
478	23904	26000
479	23954	25951
480	24010	25907
481	24059	25856
482	24108	25805
483	24156	25754
484	24187	25683
485	24224	25620
486	24276	25572
487	24316	25512
488	24367	25464
489	24411	25407
490	24463	25360
491	24512	25309
492	24542	25239
493	24591	25188
494	24644	25142
495	24693	25091
496	24740	25039
497	24790	24989
498	24841	24940
499	24890	24890
500	24940	24840
501	24989	24789
502	25039	24740
503	25090	24692
504	25128	24630
505	25173	24576
506	25220	24523
507	25254	24458
508	25304	24410
509	25342	24348
510	25388	24295
511	25416	24224
512	25466	24176
513	25515	24125
514	25551	24063
515	25606	24018
516	25654	23967
517	25709	23923
518	25760	23874
519	25814	23828
520	25865	23780
521	25911	23727
522	25961	23678
523	26010	23628
524	26063	23581
525	26113	23531
526	26161	23480
527	26212	23432
528	26263	23384
529	26312	23333
