iter	Logloss
0	0.6447946992
1	0.6058602821
2	0.5703889711
3	0.5362263217
4	0.5096077704
5	0.4835990545
6	0.4633168198
7	0.4463892583
8	0.4305348718
9	0.4170041559
10	0.4040493602
11	0.3939439071
12	0.3849226347
13	0.3772273244
14	0.3702231292
15	0.3642920929
16	0.3590566001
17	0.3555076695
18	0.3511413078
19	0.3478013974
20	0.3445303583
21	0.3411441667
22	0.3385150358
23	0.3361161371
24	0.3341243917
25	0.3325226008
26	0.3300658087
27	0.3288944961
28	0.3272421666
29	0.325347321
30	0.3238341312
31	0.3226614006
32	0.3216877853
33	0.3205916405
34	0.3191527903
35	0.3180212231
36	0.3169181719
37	0.3161644168
38	0.3152280901
39	0.3143511211
40	0.3136686215
41	0.3131105626
42	0.3126803399
43	0.3119382771
44	0.3112382841
45	0.3106774554
46	0.3104046228
47	0.309563423
48	0.3091849436
49	0.3081735218
50	0.3076052361
51	0.3073634769
52	0.3067420234
53	0.306306488
54	0.3058165787
55	0.3055415995
56	0.3049609009
57	0.3046366017
58	0.3042020327
59	0.3038236458
60	0.303401548
61	0.3031247218
62	0.3026138287
63	0.3023527673
64	0.3019289592
65	0.301672944
66	0.3014032989
67	0.3010872977
68	0.3008098174
69	0.300504316
70	0.3003198928
71	0.3000266001
72	0.2996205185
73	0.2994142745
74	0.2991690179
75	0.2989936014
76	0.2982296084
77	0.2979628477
78	0.2978025001
79	0.2976103954
80	0.2972041642
81	0.2969885621
82	0.2968088654
83	0.2965300728
84	0.2963366739
85	0.2960586232
86	0.2959215483
87	0.2957457014
88	0.2955919319
89	0.2954444177
90	0.2952098562
91	0.2949754614
92	0.2948106137
93	0.2946420251
94	0.2944806103
95	0.2943170214
96	0.2940057941
97	0.2938392803
98	0.2936319353
99	0.2935033586
100	0.2934421996
101	0.2928650643
102	0.2926519066
103	0.2925206016
104	0.2920567224
105	0.2919548296
106	0.2918913133
107	0.2916506346
108	0.2915245015
109	0.2914256916
110	0.2912649332
111	0.2911399667
112	0.2910049775
113	0.2905306804
114	0.2903680724
115	0.2902486844
116	0.2898178916
117	0.2897000879
118	0.289640151
119	0.289530331
120	0.2894852382
121	0.2892737059
122	0.2890957951
123	0.2890201876
124	0.2889178586
125	0.2888288498
126	0.2884034023
127	0.2883050255
128	0.2881703387
129	0.2880373332
130	0.2879416185
131	0.2878297484
132	0.2877512051
133	0.2876492259
134	0.2876059784
135	0.2873967382
136	0.2873146625
137	0.2872209979
138	0.2871379989
139	0.2870364346
140	0.286864853
141	0.286670188
142	0.2864564826
143	0.2862977597
144	0.2861705474
145	0.2860102405
146	0.2859431606
147	0.2858700399
148	0.2858139834
149	0.2856840001
150	0.2853020578
151	0.2852535934
152	0.2852300327
153	0.2851749581
154	0.2849426991
155	0.2848349692
156	0.2847250383
157	0.2846636194
158	0.2846559094
159	0.2846269112
160	0.2845480099
161	0.2844951985
162	0.2843062968
163	0.2842594123
164	0.284173979
165	0.2839884865
166	0.283921784
167	0.283826681
168	0.2837082619
169	0.2837021052
170	0.2836809283
171	0.2835894328
172	0.2835479881
173	0.2835185359
174	0.2835145087
175	0.2834779867
176	0.2834102258
177	0.2833428883
178	0.2831932784
179	0.2831290636
180	0.2830439588
181	0.2830145555
182	0.2829595551
183	0.2828060729
184	0.2827158923
185	0.2826626821
186	0.2824644078
187	0.2823667557
188	0.2822962784
189	0.2820576765
190	0.2819672699
191	0.2817630961
192	0.2816832726
193	0.2816569796
194	0.2814708011
195	0.2814188579
196	0.2813554634
197	0.2808930453
198	0.2806064794
199	0.2805690191
200	0.2804627533
201	0.2804401553
202	0.2803493232
203	0.2803370845
204	0.2803004816
205	0.2802077223
206	0.2801451318
207	0.2801050757
208	0.2800467429
209	0.2796589056
210	0.2794763536
211	0.2794140211
212	0.2792986348
213	0.2792186876
214	0.2791084645
215	0.2790490107
216	0.2790090695
217	0.2788840733
218	0.2785168613
219	0.2784597295
220	0.2784093376
221	0.278295793
222	0.278209941
223	0.2781133998
224	0.2779118666
225	0.2778379057
226	0.2778083173
227	0.2776939365
228	0.2776773938
229	0.2776343551
230	0.2775874094
231	0.2775201407
232	0.2774400498
233	0.2773606795
234	0.2772616478
235	0.277140024
236	0.2768250874
237	0.2767920925
238	0.2767247337
239	0.2766398389
240	0.2763697668
241	0.2762989767
242	0.2762413755
243	0.2760490177
244	0.2758317978
245	0.2757603834
246	0.2757330626
247	0.2756289087
248	0.2756160207
249	0.2752526374
250	0.275212229
251	0.2751806164
252	0.2751803936
253	0.2751583051
254	0.275054551
255	0.2750211469
256	0.2748051621
257	0.2746852871
258	0.2746050004
259	0.2745637592
260	0.2743260169
261	0.2741402257
262	0.2740076001
263	0.273987195
264	0.2739620982
265	0.2738775518
266	0.2738425172
267	0.2737706858
268	0.2736949024
269	0.2736519385
270	0.2734596812
271	0.2734204899
272	0.2733289368
273	0.2731838968
274	0.2731290194
275	0.2730797894
276	0.2729593421
